angle_deg,level_db
-43.35368812810538,-33.334774048065924
-43.31430231465531,-33.280305790603315
-43.27494201096162,-33.2272900474213
-43.23560714898219,-33.17570743537197
-43.19629766094246,-33.12553919383595
-43.157013479333926,-33.07676715982086
-43.11775453691263,-33.02937374418574
-43.0785207666977,-32.9833419089243
-43.039312101969884,-32.93865514544487
-43.00012847627014,-32.89529745379018
-42.960969823398145,-32.85325332274016
-42.92183607741086,-32.81250771074778
-42.88272717262115,-32.77304602765809
-42.84364304359634,-32.73485411716508
-42.80458362515684,-32.69791823996264
-42.76554885237471,-32.662225057549314
-42.726538660572324,-32.62776161664696
-42.687552985320984,-32.59451533419758
-42.64859176243957,-32.56247398290267
-42.609654927993134,-32.531625677272665
-42.5707424182916,-32.50195886015532
-42.53185416988846,-32.47346228971181
-42.49299011957938,-32.44612502681348
-42.45415020440094,-32.419936422831825
-42.41533436162927,-32.3948861077952
-42.37654252877883,-32.37096397888816
-42.33777464360105,-32.348160189269336
-42.29903064408311,-32.32646513718505
-42.26031046844659,-32.30586945535754
-42.22161405514632,-32.286364000625255
-42.182941342869015,-32.26793984381674
-42.144292270532105,-32.250588259837436
-42.10566677728245,-32.23430071795029
-42.06706480249517,-32.219068872232924
-42.02848628577237,-32.2048845521925
-41.98993116694194,-32.19173975352166
-41.95139938605638,-32.179626628978056
-41.91289088339158,-32.168537479371686
-41.874405599445645,-32.15846474464343
-41.83594347493772,-32.149400995019455
-41.797504450806784,-32.14133892222523
-41.759088468210535,-32.134271330745115
-41.720695468524234,-32.128191129111116
-41.68232539333951,-32.123091321207525
-41.64397818446326,-32.11896499757523
-41.605653783916495,-32.11580532670256
-41.56735213393327,-32.11360554628737
-41.52907317695949,-32.11235895445687
-41.49081685565182,-32.11205890092992
-41.45258311287666,-32.11269877810895
-41.414371891708946,-32.114272012086616
-41.37618313543111,-32.11677205355318
-41.33801678753202,-32.12019236859101
-41.299872791705866,-32.12452642934188
-41.261751091851124,-32.129767704533194
-41.2236516320695,-32.1359096498492
-41.185574356664816,-32.142945698133076
-41.14751921014207,-32.15086924940655
-41.10948613720635,-32.159673660691894
-41.071475082761744,-32.169352235623904
-41.033485991910396,-32.17989821383712
-40.99551880995148,-32.19130476011458
-40.95757348238012,-32.20356495328466
-40.919649954886516,-32.21667177485246
-40.881748173354794,-32.23061809735205
-40.84386808386211,-32.24539667240687
-40.80600963267766,-32.26100011848431
-40.76817276626168,-32.2774209083333
-40.730357431264466,-32.29465135609094
-40.69256357452542,-32.31268360404721
-40.65479114307212,-32.33150960905644
-40.61704008411932,-32.35112112858374
-40.57931034506802,-32.37150970637716
-40.541601873504526,-32.39266665775545
-40.50391461719953,-32.41458305450324
-40.46624852410717,-32.43724970936657
-40.42860354236409,-32.46065716014082
-40.39097962028853,-32.48479565334808
-40.35337670637946,-32.50965512749855
-40.31579474931562,-32.535225195935425
-40.27823369795462,-32.56149512926242
-40.24069350133208,-32.5884538373559
-40.20317410866075,-32.61608985096677
-40.165675469329564,-32.64439130291807
-40.128197532902824,-32.67334590890862
-40.090740249119314,-32.70294094793511
-40.053303567891405,-32.733163242349626
-40.015887439304265,-32.76399913757168
-39.97849181361491,-32.79543448147916
-39.94111664125141,-32.827454603507896
-39.90376187281207,-32.86004429349101
-39.866427459064525,-32.89318778027872
-39.82911335094496,-32.92686871018216
-39.791819499557235,-32.96107012529077
-39.754545856172115,-32.995774441722105
-39.71729237222643,-33.03096342786556
-39.680058999322235,-33.06661818269356
-39.64284568922602,-33.10271911421768
-39.60565239386794,-33.13924591817784
-39.56847906534098,-33.176177557061806
-39.53132565590017,-33.21349223955909
-39.494192117961774,-33.251167400565
-39.45707840410255,-33.28917968186081
-39.419984467059,-33.32750491360428
-39.38291025972646,-33.36611809677805
-39.34585573515848,-33.404993386752096
-39.30882084656598,-33.44410407812824
-39.27180554731653,-33.4834225910473
-39.234809790933575,-33.522920459146675
-39.19783353109565,-33.562568319371614
-39.16087672163571,-33.60233590384999
-39.12393931654036,-33.64219203405386
-39.08702126994906,-33.68210461747666
-39.050122536153495,-33.72204064706729
-39.01324306959677,-33.761966203667704
-38.97638282487271,-33.80184646170638
-38.939541756725156,-33.84164569840697
-38.902719820047224,-33.88132730677151
-38.86591696988063,-33.920853812600164
-38.82913316141496,-33.96018689580826
-38.79236834998696,-33.999287416295005
-38.75562249107984,-34.038115444612316
-38.71889554032263,-34.07663029767289
-38.68218745348944,-34.11479057971992
-38.64549818649878,-34.15255422876458
-38.60882769541289,-34.18987856867611
-38.57217593643708,-34.22672036708072
-38.53554286591901,-34.263035899197625
-38.498928440348095,-34.298781017702325
-38.46233261635475,-34.333911228671006
-38.425755350709814,-34.36838177361038
-38.38919660032384,-34.40214771753383
-38.35265632224647,-34.43516404298686
-38.31613447366574,-34.46738574987013
-38.279631011907526,-34.49876796084525
-38.24314589443483,-34.529266032047275
-38.20667907884713,-34.55883566875676
-38.170230522879784,-34.58743304562235
-38.133800184403434,-34.615014930947225
-38.097388021423306,-34.641538814491724
-38.06099399207862,-34.66696303817176
-38.024618054641984,-34.69124692896697
-37.988260167518746,-34.71435093329369
-37.95192028924644,-34.73623675203559
-37.91559837849411,-34.756867475379366
-37.87929439406174,-34.776207716552
-37.84300829487965,-34.79422374352658
-37.80674004000794,-34.810883607734915
-37.77048958863578,-34.82615726880845
