n_atoms,dimension,parameterization,optimizer,seed,best_energy,target_energy,gap,target_relative_gap,success,within_1_percent,within_5_percent,within_10_percent,population_size,nominal_full_generations_per_restart,restarts,pair_traversals,pair_terms_evaluated,objective_calls,gradient_calls,wall_seconds,measured_pair_seconds,estimated_optimizer_overhead_seconds,overlap_pairs,projected_candidates,reference_structure_audited
13,33,fixed-frame,lbfgs-multistart,10065547755147478085,-3.86983627434023134e1,-4.43268010000000032e1,5.62843825659768981e0,1.26975963291320965e-1,false,false,false,false,,,4,9012,702936,9012,17269,0.018353017,0.004099033,0.014253984,108,0,true
13,33,fixed-frame,lbfgs-multistart,10307988297944474805,-3.97007827940061304e1,-4.43268010000000032e1,4.62601820599387281e0,1.04361652581107134e-1,false,false,false,false,,,4,11301,881478,11301,21579,0.036494333,0.007333442,0.029160891,83,0,true
13,33,fixed-frame,lbfgs-multistart,10509203992769182689,-3.97249035958869996e1,-4.43268010000000032e1,4.60189740411300363e0,1.03817494163700272e-1,false,false,false,false,,,4,4631,361218,4631,8616,0.014715475,0.003485297,0.011230178,107,0,true
13,33,fixed-frame,lbfgs-multistart,14076511471388420532,-3.94307159616695557e1,-4.43268010000000032e1,4.89608503833044750e0,1.10454283365281583e-1,false,false,false,false,,,4,20000,1560000,20003,37725,0.040782634,0.009023153,0.031759481,117,0,true
13,33,fixed-frame,lbfgs-multistart,16235298172165022714,-3.90291511434406004e1,-4.43268010000000032e1,5.29764985655940279e0,1.19513471241910793e-1,false,false,false,false,,,4,12862,1003236,12862,24594,0.042394323,0.008629992,0.033764331,111,0,true
13,33,fixed-frame,lbfgs-multistart,17425550653302497574,-3.73944218386204739e1,-4.43268010000000032e1,6.93237916137952936e0,1.56392498555885606e-1,false,false,false,false,,,4,17222,1343316,17222,32696,0.056098956,0.013491942,0.042607014,116,0,true
13,33,fixed-frame,random,3482299955060770590,-2.08404020680994613e1,-4.43268010000000032e1,2.34863989319005420e1,5.29846467646075792e-1,false,false,false,false,,,,20000,1560000,20000,0,0.074786779,0.028122076,0.046664703,0,0,true
13,33,fixed-frame,random,5694209903365972707,-1.93666419289910898e1,-4.43268010000000032e1,2.49601590710089134e1,5.63094076448442782e-1,false,false,false,false,,,,20000,1560000,20000,0,0.031815179,0.010862254,0.020952925,0,0,true
13,33,fixed-frame,random,6054845415890715159,-1.92278039031144807e1,-4.43268010000000032e1,2.50989970968855225e1,5.66226222751457287e-1,false,false,false,false,,,,20000,1560000,20000,0,0.026174002,0.009100367,0.017073635,0,0,true
13,33,fixed-frame,random,8048971573819030837,-2.13281686399185944e1,-4.43268010000000032e1,2.29986323600814089e1,5.18842592770938027e-1,false,false,false,false,,,,20000,1560000,20000,0,0.037805280,0.014049218,0.023756062,0,0,true
13,33,fixed-frame,random,10065547755147478085,-1.96565036415285412e1,-4.43268010000000032e1,2.46702973584714620e1,5.56554878807326125e-1,false,false,false,false,,,,20000,1560000,20000,0,0.062359242,0.020149357,0.042209885,0,0,true
13,33,fixed-frame,random,10307988297944474805,-1.85778216215331753e1,-4.43268010000000032e1,2.57489793784668279e1,5.80889637816787818e-1,false,false,false,false,,,,20000,1560000,20000,0,0.062565984,0.030996543,0.031569441,0,0,true
13,33,fixed-frame,random,10509203992769182689,-2.11080637267945299e1,-4.43268010000000032e1,2.32187372732054733e1,5.23808096893919162e-1,false,false,false,false,,,,20000,1560000,20000,0,0.066461561,0.023714717,0.042746844,0,0,true
13,33,fixed-frame,random,14076511471388420532,-2.09235270870571455e1,-4.43268010000000032e1,2.34032739129428577e1,5.27971190904185872e-1,false,false,false,false,,,,20000,1560000,20000,0,0.031843569,0.011649213,0.020194356,0,0,true
13,33,fixed-frame,random,16235298172165022714,-2.07091037633977599e1,-4.43268010000000032e1,2.36176972366022433e1,5.32808519987766349e-1,false,false,false,false,,,,20000,1560000,20000,0,0.028839703,0.009562289,0.019277414,0,0,true
13,33,fixed-frame,random,17425550653302497574,-1.90419927669065387e1,-4.43268010000000032e1,2.52848082330934645e1,5.70418069038942432e-1,false,false,false,false,,,,20000,1560000,20000,0,0.024969978,0.007004396,0.017965582,0,0,true
13,39,free,basin-hopping,4570751413759120945,-2.61712244674161028e1,-4.43268010000000032e1,1.81555765325839005e1,4.09584633291806888e-1,false,false,false,false,,,5,12443,970554,12445,22935,0.030715114,0.006048983,0.024666131,1294,0,true
13,39,free,basin-hopping,7034108689089008211,-3.46700550097117670e1,-4.43268010000000032e1,9.65674599028823621e0,2.17853437929983601e-1,false,false,false,false,,,5,12512,975936,12513,23504,0.026839288,0.005331256,0.021508032,1453,0,true
13,39,free,basin-hopping,7271924302297329655,-3.02069029372575422e1,-4.43268010000000032e1,1.41198980627424611e1,3.18540876945811180e-1,false,false,false,false,,,5,17930,1398540,17934,34346,0.039972634,0.007815906,0.032156728,214,0,true
13,39,free,basin-hopping,8072969983913079348,-2.95483423002098071e1,-4.43268010000000032e1,1.47784586997901961e1,3.33397817266131935e-1,false,false,false,false,,,5,12590,982020,12591,23418,0.029931195,0.005843535,0.024087660,3152,0,true
