seed_arm,candidate,radius_gyration_normalized,mean_coordination,holdout_radius_gyration_normalized,holdout_mean_coordination,fine_niche,holdout_fine_niche,coarse_niche,holdout_coarse_niche,cutoff_low_niche,cutoff_high_niche
2,25,6.09200662332551546e-1,2.89473684210526327e0,6.09543712786446035e-1,2.94736842105263142e0,32,32,10,10,32,32
2,26,6.34985051891946983e-1,2.84210526315789469e0,6.34903302554533644e-1,2.89473684210526327e0,33,33,10,10,33,33
2,27,6.20719303847893644e-1,2.89473684210526327e0,6.21585313948692653e-1,2.89473684210526327e0,32,32,10,10,32,32
2,28,6.07990507500416277e-1,2.73684210526315796e0,6.08101143842046832e-1,2.68421052631578938e0,32,32,10,10,32,32
2,29,6.42280883609480879e-1,2.57894736842105265e0,6.42332941833602344e-1,2.57894736842105265e0,33,33,10,10,33,33
2,30,6.15539492354278295e-1,2.89473684210526327e0,6.15849542101253533e-1,2.78947368421052611e0,32,32,10,10,32,32
2,31,6.20989447617791623e-1,3.15789473684210531e0,6.20578200000679536e-1,3.31578947368421062e0,44,44,10,10,44,44
2,32,6.28937323023465278e-1,2.73684210526315796e0,6.29230534533538055e-1,2.73684210526315796e0,33,33,10,10,33,33
2,33,6.07225405050492273e-1,2.52631578947368407e0,6.06055830064432866e-1,2.52631578947368407e0,32,32,10,10,32,32
2,34,6.58634815834640008e-1,2.47368421052631593e0,6.58817101001440975e-1,2.42105263157894735e0,33,33,10,10,33,33
2,35,6.12865592107766588e-1,2.57894736842105265e0,6.13292447173612865e-1,2.57894736842105265e0,32,32,10,10,32,32
2,36,6.50381574340450075e-1,2.47368421052631593e0,6.50185160500240111e-1,2.36842105263157876e0,33,33,10,10,33,33
2,37,6.49658761423082876e-1,2.47368421052631593e0,6.49578360697705692e-1,2.42105263157894735e0,33,33,10,10,33,33
2,38,6.43267030128039541e-1,2.63157894736842124e0,6.43116850828735154e-1,2.68421052631578938e0,33,33,10,10,33,33
2,39,6.25441733052345850e-1,2.52631578947368407e0,6.25296594022544228e-1,2.42105263157894735e0,33,33,10,10,33,33
2,40,6.40298544744782872e-1,2.36842105263157876e0,6.40781739974927489e-1,2.36842105263157876e0,33,33,10,10,33,33
2,41,6.28854053890999465e-1,2.36842105263157876e0,6.29285121503583067e-1,2.42105263157894735e0,33,33,10,10,33,33
2,42,6.43102977483415938e-1,2.57894736842105265e0,6.43063838290176215e-1,2.63157894736842124e0,33,33,10,10,33,33
2,43,6.53653058383089069e-1,2.05263157894736858e0,6.54075190334566403e-1,2.00000000000000000e0,33,33,10,10,33,33
2,44,6.22133266933746820e-1,2.68421052631578938e0,6.22675158168657039e-1,2.73684210526315796e0,32,32,10,10,32,32
2,45,6.55808839447026060e-1,2.21052631578947389e0,6.55955036942958869e-1,2.21052631578947389e0,33,33,10,10,33,33
2,46,6.49860445663023145e-1,3.31578947368421062e0,6.49700997275341807e-1,3.31578947368421062e0,45,45,10,10,45,45
2,47,6.11731546280648519e-1,2.84210526315789469e0,6.12054210665917031e-1,2.89473684210526327e0,32,32,10,10,32,32
2,48,6.16766022551814452e-1,3.21052631578947389e0,6.16863721962155998e-1,3.15789473684210531e0,44,44,10,10,44,44
2,49,6.06626505971450403e-1,2.57894736842105265e0,6.06101147129280760e-1,2.57894736842105265e0,32,32,10,10,32,32
2,50,6.13381399626039991e-1,3.05263157894736858e0,6.12935906343741288e-1,3.15789473684210531e0,44,44,10,10,44,44
2,51,6.12492286359646809e-1,2.47368421052631593e0,6.12417288913939872e-1,2.52631578947368407e0,32,32,10,10,32,32
2,52,6.24811053278411688e-1,3.15789473684210531e0,6.24770568570119034e-1,3.26315789473684204e0,44,44,10,10,44,44
2,53,6.20419099440544297e-1,2.78947368421052611e0,6.20824722023447517e-1,2.84210526315789469e0,32,32,10,10,32,32
2,54,6.28904777542135585e-1,2.94736842105263142e0,6.28446580805597566e-1,2.94736842105263142e0,33,33,10,10,33,45
2,55,6.50122336769873077e-1,2.47368421052631593e0,6.49568829259105085e-1,2.63157894736842124e0,33,33,10,10,33,33
2,56,6.38700101886217730e-1,2.31578947368421062e0,6.39349766754943705e-1,2.26315789473684204e0,33,33,10,10,33,33
2,57,6.42845461668292706e-1,2.63157894736842124e0,6.43061354742860858e-1,2.68421052631578938e0,33,33,10,10,33,33
