point_id,feasible,selected,objective_cutoff_error,objective_passband_ripple_db,objective_total_capacitance_nf,constraint_peak_db,cutoff_hz,peak_above_dc_db,r1_ohm,r2_ohm,r3_ohm,r4_ohm,c1_f,c2_f,c3_f,c4_f
20,1,0,0.013507507037311494,2.1604870609504103,0.04458087620667945,-3,96937.65129083378,0,95615.84104880423,557.9617165750935,88082.21546307908,708.5595013295782,0.00000000001116438940593195,0.000000000012072503492167607,0.000000000010516769338294224,0.000000000010827213970285666
21,1,1,0.014840593269103414,0.3100072872120717,1.9277946835315969,-2.8483808011111313,103476.22899911164,0.15161919888886854,1342.1730329159493,26237.467886434824,53964.18988700128,338.1669939453503,0.0000000017447966137173156,0.00000000004497311809105074,0.00000000009798266342792439,0.000000000040042288295306504
22,1,0,0.01669010675186381,1.9136522109291407,0.047159911920229385,-3,103917.83896793825,0,97035.80001345817,5402.636373459611,81928.45848976466,102.62726549154021,0.00000000001495469763980385,0.000000000011854815770205803,0.000000000010296529647896665,0.000000000010053868862323065
23,1,0,0.017282053416409832,0.36409007843240593,1.713315797235276,-2.920053136383846,104059.5763412685,0.07994686361615413,1360.345590067504,26021.716059496594,49993.49264159288,412.0033699434785,0.0000000016052987394131838,0.000000000046909770414231345,0.00000000002074368069417544,0.0000000000403636067136853
24,1,0,0.01754071042781094,1.0297358436823267,0.24723674548836974,-2.1218707591561348,104121.57058013731,0.8781292408438655,2278.446538131317,1865.6586429144152,49211.59204076681,33986.2977129159,0.00000000009147422332108366,0.00000000004406890784810676,0.00000000008750257020407812,0.00000000002419104411510123
25,1,0,0.018742092694800334,0.9441503356638606,0.2302054653574863,-2.5637854065885417,104409.99926251377,0.4362145934114582,5142.250689402179,973.4941296455323,50674.05606267097,28281.688381646505,0.00000000002927364914996654,0.00000000009176853576246602,0.00000000008408029961309075,0.000000000025082980831962987
26,1,0,0.021485248524841762,1.8780670343272925,0.047159911920229385,-3,105071.57650942329,0,97035.80001345817,5402.636373459615,79611.77074769165,102.62726549154021,0.00000000001495469763980385,0.000000000011854815770205803,0.000000000010296529647896665,0.000000000010053868862323065
27,1,0,0.022162855713307665,0.8348743820919478,0.6818560787073354,-2.678226476922713,105235.64220702862,0.3217735230772873,4678.654016699472,8053.013487436202,1140.7553525640958,33811.9397265396,0.0000000005022154123571083,0.0000000001447902145147096,0.000000000010405676585302661,0.000000000024444775250214977
28,1,0,0.022196368100863558,1.8638071728969279,0.05098932772105712,-3,105243.7630417291,0,79178.41891309804,4258.111574595245,97137.74653040223,107.7544350238789,0.000000000014824129086241042,0.000000000011961878726603607,0.000000000013814916949747224,0.00000000001038840295846524
29,1,0,0.02341287059112606,0.7022575641233489,1.6620373415236385,-3,94751.72590764615,0,2270.4127020763112,21807.167761897275,50970.111586446525,415.6007117045524,0.0000000014677588799270353,0.00000000004439175654324216,0.00000000008644281879282381,0.00000000006344388626053728
30,1,0,0.024430983354525655,0.3113992464091795,1.5790378992712566,-3,105786.6789939287,0,1482.0071556812768,22328.204981904146,50970.111586446525,412.0033699434784,0.0000000014677588799270353,0.000000000052188391639842936,0.000000000018959104749092657,0.000000000040131522955285674
31,1,0,0.024488685329252195,0.3094842744583124,1.5790378992712566,-3,105800.73513798934,0,1482.0071556812768,22328.204981904146,50970.111586446525,371.1034874752996,0.0000000014677588799270353,0.000000000052188391639842936,0.000000000018959104749092657,0.000000000040131522955285674
32,1,0,0.025947191028292415,0.5714369245115752,0.8531481525478265,-2.8466192178908254,106156.64658924344,0.1533807821091744,5161.203394013217,5203.1231123781145,64176.036727584724,5601.891652154788,0.0000000006385584766362286,0.00000000014319312452282082,0.000000000046380968617055646,0.000000000025015582771721513
33,1,0,0.026344877525628148,0.5861805026610475,0.8419960338846737,-2.8833618341101266,106253.89949445688,0.11663816588987322,5161.203394013217,5203.1231123781145,64176.036727584724,5601.891652154788,0.0000000006274048399711706,0.00000000014319312452282082,0.000000000046380968617055646,0.000000000025017100773626672
34,1,0,0.02649956148405502,1.8172479776789885,0.07409996643523609,-3,106291.75100257836,0,31752.267338477384,11202.626366770603,98687.28366414645,24892.711112514364,0.000000000028582941273983342,0.000000000024221414337924945,0.000000000010453255325411527,0.000000000010842355497916272
35,1,0,0.02917994534014766,1.78660510006125,0.12233247527333999,-3,106949.79226204919,0,100000,4064.635155389726,51842.68919608908,411.2749709280635,0.00000000008022458914114069,0.000000000011545218847925946,0.000000000010524813943017059,0.000000000020037853341256287
36,1,0,0.03086580038935864,1.772523802459203,0.1244074198198908,-3,107365.75944137579,0,100000,4064.635155389726,51842.68919608908,411.2749709280635,0.00000000008198336627148568,0.000000000011545218847925946,0.000000000010840981359222874,0.000000000020037853341256287
