angle_deg,nominal_db,envelope_min_db,envelope_max_db
-76.53196328996908,-25.358580254845183,-54.7528203494872,-17.587911999934448
-76.40950603319409,-25.368646112461384,-54.23467137520647,-17.584754296233854
-76.28812196249642,-25.379446244297213,-53.58394284445208,-17.581901456151662
-76.16778281653644,-25.390979231453016,-52.86222023355022,-17.57935367730313
-76.04846154811823,-25.403243660271826,-52.1148396242701,-17.57711112554361
-75.93013225242788,-25.41623811966833,-51.371057838337194,-17.57517393554181
-75.8127701006342,-25.429961198369636,-50.64791370645371,-17.573542211336925
-75.69635127836945,-25.444411482063686,-49.954304341457664,-17.572216026879932
-75.58085292865941,-25.459587550451133,-49.29410124804362,-17.571195426559385
-75.46625309891503,-25.47548797419449,-48.66823491843193,-17.570480425711544
-75.35253069163859,-25.49211131176143,-48.07599841418016,-17.570071011115715
-75.23966541853052,-25.509456106155618,-47.51583187407184,-17.56996714147443
-75.12763775771505,-25.527520881530243,-46.985782497936654,-17.570168747879066
-75.01642891382892,-25.54630413967928,-46.48376786403357,-17.57067573426113
-74.90602078074302,-25.565804356399276,-46.00772208938543,-17.57148797782909
-74.79639590670699,-25.586019977718244,-45.555672986324055,-17.572605329491783
-74.68753746172793,-25.606949415982267,-45.125779015370725,-17.57402761426752
-74.57942920700975,-25.62859104579666,-44.71634315871637,-17.57575463168019
-74.47205546629719,-25.650943199813312,-44.3258138619329,-17.57778615614199
-74.36540109898051,-25.674004164357793,-43.9527790349797,-17.580121937323113
-74.25945147483127,-25.697772174889852,-43.59595662673948,-17.58276170050881
-74.15419245024917,-25.72224541128953,-43.25418380985418,-17.58570514694382
-74.0496103459117,-25.74742199296177,-42.92640593097535,-17.588951954164507
-73.94569192572577,-25.773299973752408,-42.61166585636534,-17.592501776319104
-73.84242437699076,-25.799877336666704,-42.30909403164067,-17.5963542444758
-73.73979529168804,-25.827151988383733,-42.017899392157226,-17.600508966919538
-73.6377926488204,-25.855121753557228,-41.73736115593798,-17.604965529437088
-73.5364047977297,-25.883784368895867,-41.46682147314767,-17.609723495591247
-73.43562044232799,-25.91313747701227,-41.20567887622894,-17.6147824069836
-73.33542862618087,-25.943178620035354,-40.953382461451525,-17.620141783507126
-73.23581871838839,-25.973905232973227,-40.70942672889578,-17.625801123587628
-73.13678040021118,-26.005314636820348,-40.47334700952135,-17.63175990441507
-73.03830365239489,-26.037404031398843,-40.24471541244884,-17.63801758216478
-72.94037874314841,-26.070170487924337,-40.02313723136097,-17.64457359220852
-72.84299621673574,-26.103610941287254,-39.80824775512001,-17.651427349315863
-72.74614688264272,-26.13772218203995,-39.599709433800214,-17.658578247845888
-72.64982180528479,-26.1725008480797,-39.39720935707127,-17.666025661929403
-72.55401229422199,-26.207943416019287,-39.200457007109634,-17.67376894564218
-72.45870989485192,-26.244046192233238,-39.00918225293458,-17.68180743316868
-72.36390637955162,-26.280805303572784,-38.82313355723043,-17.690140438957233
-72.26959373924294,-26.318216687738293,-38.64207637040258,-17.698767257866336
-72.17576417535618,-26.356276083300525,-38.46579168982436,-17.707687165302325
-72.0824100921701,-26.3949790193618,-38.29407476503483,-17.71689941734868
-71.98952408950598,-26.434320804848053,-38.126733932085834,-17.726403250887095
-71.89709895575699,-26.474296517423163,-37.963589562349775,-17.736197883710304
-71.80512766123321,-26.514900992018312,-37.804473112936165,-17.74628251462712
-71.71360335180613,-26.556128808967316,-37.649226267458495,-17.75665632355935
-71.62251934283502,-26.59797428174329,-37.49770015726923,-17.767318471631423
-71.53186911336142,-26.640431444287778,-37.349754654489296,-17.778268101251964
-71.44164630055626,-26.683494037929634,-37.20525772919115,-17.789504336188386
-71.35184469440702,-26.72715549788714,-37.06408486400793,-17.801026281633913
-71.2624582326321,-26.77140893935079,-36.92611852022911,-17.812833024267324
-71.1734809958107,-26.816247143145628,-36.79124765012971,-17.824923632305953
-71.08490720271708,-26.86166254097065,-36.659367250885296,-17.83729715555145
-70.99673120584885,-26.907647200217255,-36.53037795594744,-17.84995262542868
-70.90894748713963,-26.95419280836981,-36.40418566021666,-17.862889055018098
-70.82155065384683,-27.0012906569913,-36.28070117575463,-17.876105439081044
-70.73453543460549,-27.048931625303396,-36.159839915128565,-17.889600754079027
-70.64789667564098,-27.097106163367425,-36.04152159980009,-17.90337395818595
-70.56162933713166,-27.145804274880668,-35.925669991236184,-17.917423991294392
-70.47572848971534,-27.19501549960095,-35.81221264267351,-17.931749775015234
-70.39018931113185,-27.244728895419264,-35.70108066967204,-17.94635021267129
-70.30500708299603,-27.294933020100874,-35.59220853779169,-17.961224189284632
-70.22017718769419,-27.34561591272073,-35.48553386588981,-17.976370571557666
-70.13569510539902,-27.396765074824252,-35.38099724368687,-17.991788207848614
-70.0515564111973,-27.448367451344975,-35.27854206238507,-18.007475928140355
-69.96775677232473,-27.50040941132106,-35.17811435723648,-18.023432544003754
-69.88429194550388,-27.55287672845401,-35.07966266106771,-18.039656848555083
-69.80115777437982,-27.605754561558925,-34.98313786786235,-18.056147616407266
-69.71835018704982,-27.659027434964038,-34.888493105583045,-18.07290360361561
-69.63586519368219,-27.712679218920854,-34.90453461466472,-18.089923547617435
-69.55369888422085,-27.76669311009575,-35.239111409481986,-18.107206167166183
-69.47184742617179,-27.821051612218923,-35.5871646845242,-18.124750162259623
