angle_deg,uniform_db,optimized_db,chebyshev_reference_db
-59.93984784048574,-25.223598656919812,-29.363283802909752,-30.61748636807281
-59.882705252677944,-25.16408289178427,-29.350777044208797,-30.576517176087368
-59.825660740649276,-25.10644034018682,-29.338924725317675,-30.537046909796793
-59.76871374487817,-25.050644685672655,-29.327735032024798,-30.499061908651814
-59.7118637109936,-24.996670773160456,-29.317215748531034,-30.46254913991108
-59.65511008970894,-24.94449456112841,-29.307374270034067,-30.42749617989594
-59.598452336756985,-24.894093076735384,-29.298217614771964,-30.393891196338743
-59.54188991282599,-24.84544437368617,-29.28975243552136,-30.36172293177085
-59.485422283496796,-24.79852749266209,-29.28198503054525,-30.33098068789763
-59.42904891918091,-24.75332242415474,-29.27492135398735,-30.30165431091286
-59.37276929505964,-24.709810073551488,-29.268567025710333,-30.273734177706437
-59.31658289102418,-24.66797222833502,-29.262927340576617,-30.247211182925792
-59.260489191616706,-24.627791527268847,-29.258007277170357,-30.222076726851572
-59.20448768597239,-24.589251431451466,-29.253811505960506,-30.19832270405308
-59.14857786776227,-24.55233619712914,-29.25034439690397,-30.17594149278873
-59.092759235137144,-24.517030850168794,-29.247610026489895,-30.15492594512385
-59.037031290672296,-24.483321162097408,-29.245612184224786,-30.135269377736424
-58.981393541313096,-24.451193627621443,-29.244354378558192,-30.11696556338368
-58.92584549832148,-24.420635443549905,-29.243839842250775,-30.100008723009942
-58.870386677223166,-24.39163448904507,-29.24407153718308,-30.08439351846912
-58.81501659775592,-24.364179307136247,-29.245052158606484,-30.070115045846386
-58.759734783818324,-24.33825908743185,-29.246784138834965,-30.057168829357124
-58.70454076341967,-24.313863649974845,-29.249269650377926,-30.045550815810138
-58.649434068630306,-24.29098343018735,-29.252510608513127,-30.035257369618755
-58.594414235533,-24.269609464856003,-29.256508673297972,-30.026285268346147
-58.53948080417492,-24.24973337911323,-29.261265251017914,-30.018631698774175
-58.48463331852037,-24.231347374373936,-29.266781495069996,-30.012294253485464
-58.4298713264043,-24.21444421718944,-29.273058306278674,-30.007270927949136
-58.375194379486445,-24.19901722898352,-29.280096332640525,-30.003560118102314
-58.32060203320617,-24.185060276641366,-29.28789596849546,-30.001160618423558
-58.266093846738144,-24.172567763920014,-29.2964573531186,-30.000071620489447
-58.21166938294838,-24.161534623656628,-29.305780368729764,-30.000292712014144
-58.157328208351295,-24.15195631075029,-29.315864637914075,-30.00182387636717
-58.103069893067065,-24.14382879589685,-29.326709520449022,-30.00466549256921
-58.048894010779975,-24.137148560058503,-29.33831410953101,-30.00881833576599
-57.994800138696974,-24.13191258965132,-29.350677227394893,-30.014283578180745
-57.94078785750725,-24.128118372437402,-29.363797420319116,-30.021062790548054
-57.886856751342116,-24.12576389410921,-29.37767295300912,-30.029157944033248
-57.83300640773563,-24.124847635557035,-29.39230180235053,-30.03857141264199
-57.77923641758572,-24.125368570810156,-29.407681650523358,-30.049305976125325
-57.72554637511595,-24.12732616564746,-29.42380987746914,-30.06136482338932
-57.67193587783774,-24.130720376872894,-29.440683552701387,-30.07475155641768
