design,time,arm_angle,counterweight_x,counterweight_y,arm_tip_x,arm_tip_y,projectile_x,projectile_y,released
optimized,1.050000000,-0.189921038,-1.131249944,7.217438625,3.535118109,6.320385567,3.514478806,1.656614124,false
optimized,1.066666667,-0.156419078,-1.137898622,7.179423930,3.555898368,6.439177475,3.725913096,1.778459005,false
optimized,1.083333333,-0.122404800,-1.143342408,7.140622126,3.572913644,6.560429184,3.936854444,1.910831282,false
optimized,1.100000000,-0.087894412,-1.147513748,7.101088359,3.585952840,6.683968397,4.146728687,2.053983928,false
optimized,1.116666667,-0.052905913,-1.150347761,7.060884222,3.594813203,6.809602658,4.354929706,2.208139731,false
optimized,1.133333333,-0.017459139,-1.151782938,7.020077732,3.599302509,6.937119441,4.560820693,2.373487814,false
optimized,1.150000000,0.018424181,-1.151761858,6.978743227,3.599241319,7.066286473,4.763735793,2.550180145,false
optimized,1.166666667,0.054720395,-1.150231930,6.936961173,3.594465277,7.196852327,4.962982128,2.738328076,true
optimized,1.183333333,0.091885371,-1.147099423,6.894300707,3.584664764,7.330308363,5.160398615,2.930075847,true
optimized,1.200000000,0.130215789,-1.142206671,6.850420268,3.569373674,7.467433760,5.357815101,3.119098618,true
optimized,1.216666667,0.169717160,-1.135408917,6.805429899,3.548129488,7.608027561,5.555231588,3.305396389,true
optimized,1.233333333,0.210367421,-1.126564123,6.759448607,3.520488354,7.751717864,5.752648074,3.488969160,true
optimized,1.250000000,0.252141075,-1.115535851,6.712611366,3.486023915,7.898082882,5.950064561,3.669816932,true
optimized,1.266666667,0.295008968,-1.102195367,6.665069262,3.444333900,8.046650465,6.147481047,3.847939703,true
optimized,1.283333333,0.338938079,-1.086423881,6.616989379,3.395047106,8.196898489,6.344897534,4.023337474,true
optimized,1.300000000,0.383891322,-1.068114876,6.568554356,3.337830689,8.348256207,6.542314020,4.196010245,true
optimized,1.316666667,0.429827371,-1.047176497,6.519961621,3.272397622,8.500106672,6.739730507,4.365958016,true
optimized,1.333333333,0.476700517,-1.023533940,6.471422243,3.198514155,8.651790305,6.937146994,4.533180787,true
optimized,1.350000000,0.524460539,-0.997131777,6.423159407,3.116007103,8.802609670,7.134563480,4.697678558,true
optimized,1.366666667,0.573052621,-0.967936180,6.375406492,3.024770757,8.951835479,7.331979967,4.859451329,true
optimized,1.383333333,0.622417298,-0.935936929,6.328404758,2.924773202,9.098713817,7.529396453,5.018499101,true
optimized,1.400000000,0.672490443,-0.901149184,6.282400660,2.816061816,9.242474540,7.726812940,5.174821872,true
optimized,1.416666667,0.723203294,-0.863614901,6.237642816,2.698767723,9.382340741,7.924229426,5.328419643,true
optimized,1.433333333,0.774482533,-0.823403860,6.194378683,2.573108988,9.517539147,8.121645913,5.479292414,true
optimized,1.450000000,0.826250400,-0.780614224,6.152850991,2.439392364,9.647311260,8.319062399,5.627440185,true
optimized,1.466666667,0.878424864,-0.735372573,6.113294014,2.298013414,9.770925003,8.516478886,5.772862956,true
optimized,1.483333333,0.930919836,-0.687833397,6.075929771,2.149454902,9.887686598,8.713895372,5.915560727,true
optimized,1.500000000,0.983645430,-0.638177993,6.040964243,1.994283368,9.996952385,8.911311859,6.055533498,true
optimized,1.516666667,1.036508267,-0.586612790,6.008583715,1.833143879,10.098140251,9.108728345,6.192781270,true
optimized,1.533333333,1.089411819,-0.533367098,5.978951347,1.666753009,10.190740339,9.306144832,6.327304041,true
optimized,1.550000000,1.142256797,-0.478690332,5.952204082,1.495890150,10.274324732,9.503561319,6.459101812,true
optimized,1.566666667,1.194941565,-0.422848759,5.928449970,1.321387353,10.348555782,9.700977805,6.588174583,true
optimized,1.583333333,1.247362585,-0.366121846,5.907766022,1.144117918,10.413192844,9.898394292,6.714522354,true
optimized,1.600000000,1.299414882,-0.308798306,5.890196631,0.964984041,10.468097191,10.095810778,6.838145125,true
optimized,1.616666667,1.350992525,-0.251171949,5.875752644,0.784903838,10.513234932,10.293227265,6.959042896,true
optimized,1.633333333,1.401989116,-0.193537439,5.864411081,0.604798106,10.548677871,10.490643751,7.077215667,true
optimized,1.650000000,1.452298282,-0.136186102,5.856115536,0.425577201,10.574602263,10.688060238,7.192663439,true
optimized,1.666666667,1.501814154,-0.079401869,5.850777230,0.248128380,10.591285530,10.885476724,7.305386210,true
optimized,1.683333333,1.550431843,-0.023457494,5.848276675,0.073303970,10.599101048,11.082893211,7.415383981,true
optimized,1.700000000,1.598047888,0.031388873,5.848465900,-0.098089332,10.598511205,11.280309697,7.522656752,true
optimized,1.716666667,1.644560690,0.084896663,5.851171154,-0.265299766,10.590058942,11.477726184,7.627204523,true
optimized,1.733333333,1.689870903,0.136845353,5.856196007,-0.427638211,10.574358076,11.675142671,7.729027294,true
optimized,1.750000000,1.699896711,0.148304919,5.857632571,-0.463452869,10.569898205,11.872559157,7.828125065,true
optimized,1.766666667,1.698306724,0.146488385,5.857398198,-0.457776194,10.570630562,12.069975644,7.924497836,true
optimized,1.783333333,1.695414366,0.143182966,5.856979255,-0.447446747,10.571939651,12.267392130,8.018145608,true
optimized,1.800000000,1.691234789,0.138404391,5.856390758,-0.432513681,10.573778547,12.464808617,8.109068379,true
optimized,1.816666667,1.685785625,0.132170658,5.855653504,-0.413033246,10.576082267,12.662225103,8.197266150,true
optimized,1.833333333,1.679086955,0.124502157,5.854793759,-0.389069157,10.578768727,12.859641590,8.282738921,true
optimized,1.850000000,1.671161275,0.115421811,5.853842905,-0.360693051,10.581739862,13.057058076,8.365486692,true
optimized,1.866666667,1.662033457,0.104955241,5.852837040,-0.327985002,10.584882871,13.254474563,8.445509463,true
optimized,1.883333333,1.651730706,0.093130953,5.851816530,-0.291034087,10.588071614,13.451891049,8.522807234,true
optimized,1.900000000,1.640282514,0.079980519,5.850825520,-0.249938974,10.591168137,13.649307536,8.597380005,true
optimized,1.916666667,1.627720604,0.065538767,5.849911409,-0.204808503,10.594024325,13.846724022,8.669227776,true
optimized,1.933333333,1.614078873,0.049843961,5.849124283,-0.155762249,10.596483664,14.044140509,8.738350548,true
optimized,1.950000000,1.599393328,0.032937959,5.848516316,-0.102931025,10.598383116,14.241556996,8.804748319,true
optimized,1.966666667,1.583702013,0.014866354,5.848141141,-0.046457308,10.599555079,14.438973482,8.868421090,true
optimized,1.983333333,1.567044937,-0.004321422,5.848053202,0.013504428,10.599829422,14.636389969,8.929368861,true
optimized,2.000000000,1.549463984,-0.024572035,5.848307082,0.076787508,10.599035578,14.833806455,8.987591632,true
