i,j,x_m,y_m,solid,u_lattice,v_lattice,pressure_lattice,concentration,source_x_fraction,source_y_fraction
3,4,0.437500000,0.562500000,0,0.000118532,-0.000005398,0.000421682,0.046407611,0.300000000,0.250000000
4,4,0.562500000,0.562500000,0,0.000353941,-0.000434331,0.000428211,0.047483873,0.300000000,0.250000000
5,4,0.687500000,0.562500000,0,0.000814506,-0.000835997,0.000373918,0.048847383,0.300000000,0.250000000
6,4,0.812500000,0.562500000,0,0.001518012,-0.001364153,0.000375779,0.050448937,0.300000000,0.250000000
7,4,0.937500000,0.562500000,0,0.002429785,-0.001893764,0.000405677,0.052261851,0.300000000,0.250000000
8,4,1.062500000,0.562500000,0,0.003548070,-0.002286033,0.000367421,0.054235787,0.300000000,0.250000000
9,4,1.187500000,0.562500000,0,0.004835539,-0.002637366,0.000336373,0.056317952,0.300000000,0.250000000
10,4,1.312500000,0.562500000,0,0.006276919,-0.002923806,0.000352996,0.058484559,0.300000000,0.250000000
11,4,1.437500000,0.562500000,0,0.007783938,-0.003092881,0.000342434,0.060698530,0.300000000,0.250000000
12,4,1.562500000,0.562500000,0,0.009344283,-0.003127872,0.000298824,0.062910660,0.300000000,0.250000000
13,4,1.687500000,0.562500000,0,0.010901799,-0.003004287,0.000286226,0.065080815,0.300000000,0.250000000
14,4,1.812500000,0.562500000,0,0.012378358,-0.002739182,0.000285904,0.067147411,0.300000000,0.250000000
15,4,1.937500000,0.562500000,0,0.013636755,-0.002261072,0.000253459,0.069026974,0.300000000,0.250000000
16,4,2.062500000,0.562500000,0,0.014665377,-0.001701669,0.000231871,0.070608513,0.300000000,0.250000000
17,4,2.187500000,0.562500000,0,0.015390612,-0.001047322,0.000225284,0.071742860,0.300000000,0.250000000
18,4,2.312500000,0.562500000,0,0.015792404,-0.000462799,0.000230398,0.072296554,0.300000000,0.250000000
19,4,2.437500000,0.562500000,0,0.015919963,0.000084175,0.000216218,0.072139200,0.300000000,0.250000000
20,4,2.562500000,0.562500000,0,0.015853290,0.000472024,0.000217659,0.071171212,0.300000000,0.250000000
21,4,2.687500000,0.562500000,0,0.015629453,0.000736479,0.000242052,0.069357219,0.300000000,0.250000000
22,4,2.812500000,0.562500000,0,0.015331315,0.000886468,0.000253710,0.066708616,0.300000000,0.250000000
23,4,2.937500000,0.562500000,0,0.014997452,0.000955717,0.000255215,0.063293747,0.300000000,0.250000000
24,4,3.062500000,0.562500000,0,0.014663893,0.000934056,0.000280055,0.059227529,0.300000000,0.250000000
25,4,3.187500000,0.562500000,0,0.014331708,0.000842308,0.000309512,0.054649971,0.300000000,0.250000000
26,4,3.312500000,0.562500000,0,0.014045681,0.000732195,0.000313342,0.049721802,0.300000000,0.250000000
27,4,3.437500000,0.562500000,0,0.013838181,0.000584628,0.000314314,0.044618465,0.300000000,0.250000000
28,4,3.562500000,0.562500000,0,0.013693706,0.000324536,0.000337190,0.039506351,0.300000000,0.250000000
29,4,3.687500000,0.562500000,0,0.013600677,-0.000010374,0.000359006,0.034524330,0.300000000,0.250000000
30,4,3.812500000,0.562500000,0,0.013719571,-0.000237927,0.000337885,0.029798324,0.300000000,0.250000000
31,4,3.937500000,0.562500000,0,0.014116268,-0.000395967,0.000293766,0.025431589,0.300000000,0.250000000
32,4,4.062500000,0.562500000,0,0.014465502,-0.000930495,0.000319076,0.021466687,0.300000000,0.250000000
33,4,4.187500000,0.562500000,0,0.014691445,-0.001014163,0.000382536,0.017903653,0.300000000,0.250000000
34,4,4.312500000,0.562500000,0,0.015642939,-0.000394293,0.000267763,0.014746071,0.300000000,0.250000000
35,4,4.437500000,0.562500000,0,0.017419787,0.000373100,0.000004488,0.011980566,0.300000000,0.250000000
36,4,4.562500000,0.562500000,0,0.017693633,0.000545942,0.000234274,0.009470451,0.300000000,0.250000000
37,4,4.687500000,0.562500000,0,0.017128369,0.005297409,0.000799635,0.007021183,0.300000000,0.250000000
