point_id,feasible,selected,objective_oscillation_error,objective_molecule_cost,objective_fragility,decision_log10_alpha_a,decision_log10_alpha_prime_a,decision_log10_alpha_r,decision_log10_alpha_prime_r,decision_log10_beta_a,decision_log10_beta_r,decision_log10_delta_ma,decision_log10_delta_mr,decision_log10_delta_a,decision_log10_delta_r,decision_log10_gamma_a,decision_log10_gamma_r,decision_log10_gamma_c,decision_log10_theta_a,decision_log10_theta_r
41,1,0,1.4413948280657214,1761.791015625,0.19093375639562887,1.922742057430467,3.0265761105702467,-2.1203714632275954,2.0466277963091,1.4714997756813428,0.2572035822614765,1.3620972986726367,0.038146325334589504,-0.3150091146942263,-0.5150750010227992,0.4902174503994403,0.3863293667276699,0.34607062364278973,2.097538199848789,1.9008466724854918
42,1,0,1.911858459745213,58.5234375,0.9502677767970188,1.2310191122404408,2.2772393439254697,-2.4157935438502904,1.331921826344923,1.4944349559058323,0.30956860126179575,1.200598502537304,-0.6087998555487257,0.37904162316430745,-0.5249750945039893,0.4485427098865703,0.3233440257678911,0.29081054432046244,2.1064617786483386,2.1577254086964572
43,1,0,1.8508306990038628,52.328125,1.0017667411467341,1.2120979909923326,2.8078988040029396,-2.4751379147295625,1.4605315193587414,1.2094242887440503,0.4428031084228954,1.3141831545320413,-0.3543930959855336,0.008245447464366618,-0.30329095717193155,-0.48743760781024503,0.24277803112168772,0.2579488360173554,1.7965606574365167,2.184697323032517
44,1,0,1.8508306990038628,52.328125,1.0017667411467341,1.2120979909923326,2.8078988040029396,-2.4751379147295625,1.4605315193587414,1.2094242887440503,0.44280310842289544,1.3141831545320413,-0.3543930959855336,0.008245447464366618,-0.30329095717193155,-0.48743760781024503,0.24277803112168772,0.2579488360173554,1.7965606574365167,2.184697323032517
45,1,0,1.8833314454410761,1757.677734375,0.13317796873125887,1.2667927024869998,3.053194808429195,-1.948706180170583,1.7749097876332582,1.7024033366379427,0.523343027146913,1.405337119420731,-0.3254045111328423,-0.3356397337322272,-0.6729010744507462,-0.4934559521810422,-0.07606971798303053,0.056446328103856094,1.8772972297797845,2.2002633324437095
46,1,0,1.9643838714458632,50.775390625,1.0508995371760046,1.5800143482991755,2.232545666354052,-2.2159524655133174,1.3388315054668527,1.2632498086572435,0.6083914262177255,1.3562573069555173,-0.6737717459532757,0.09981977944961756,-0.478357428684854,0.32757190532195757,-0.2600699393805873,0.6688360301396639,1.9090137746947438,2.3923196563115523
47,1,0,1.9038510766977557,51.107421875,1.0826351209960634,1.5438405976078018,2.495350095223956,-2.1663800375655984,2.098567187909552,1.260089879107139,0.218008693614652,1.3358813100621454,-0.38922708438655107,0.37554715793482635,-0.6043166690895531,0.3254627812565059,-0.1555865173777431,0.38589927686702785,1.7644155626863234,2.226991597066317
48,1,0,1.8877721999411814,42.318359375,1.0963527198382126,1.2480080120766188,2.7825936550132306,-2.1651147529291896,1.7330462794696313,1.209171401765826,0.7795446827864343,1.3417734110674593,-0.25728066353556645,0.16214201460693836,-0.7593004483821444,-0.33763712474171936,0.24273775374212575,0.43555896559940677,1.8102544897371762,2.341163024168675
49,1,0,2.2156603765981666,52.232421875,0.9494767861742434,1.2138344381548314,2.6448469427761,-2.1363712172860856,1.6657781570982442,1.2683863509934428,0.3485717479478896,1.3603654869787225,-0.1352689419387105,0.3660977657680705,-0.9396393740285223,0.35704400891499766,0.2672146269833743,0.7137371863749224,1.7962746801706775,2.1874762351206867
50,1,0,2.246385491963009,38.228515625,0.949454164653444,1.2417631059866112,2.7817385586476338,-1.7706721667184038,1.7330462794696313,1.2091714017658262,0.7795446827864343,1.289781699434864,-0.25728066353556645,0.15971253911831673,-0.7593004483821444,-0.33763712474171936,0.24273775374212575,0.7686574552089834,1.8102544897371762,1.8713366479827083
51,1,0,1.8342635681949466,42.017578125,1.1574949340197975,1.2168120713368475,2.2958952392672183,-1.562216061607859,1.5146764527512766,1.3015958363296778,0.30345446342860766,1.3598720770605892,-0.481077193356471,-0.07211212372689833,-0.5264624405423544,-0.47236603379131037,-0.4237211308492316,-0.12803649600928058,1.5269276950128043,1.8978636613959834
52,1,0,2.164947778774134,42.560546875,1.028561144435327,1.2117308503825024,2.665047341858934,-1.7870811789766015,1.984832600344484,1.2678671221162934,0.3031307546455785,1.2571236312654128,-0.39114766282980457,0.020604473136683177,-0.2838616078309115,-0.4845338378248101,0.22609413231101655,0.774641093245115,1.7259142255016098,2.1931911163893423
