hour,load_kw,renewable_kw,import_kw,export_kw,battery_soc_kwh,electrolyser_kw,hydrogen_store_kwh,hydrogen_buy_kw,hydrogen_demand_kw
1604,893.7361702547222,1176.6165088417754,0,107.9126253714785,3712.3055234376247,174.96771321559208,0,0,118.97804498658317
1605,875.1054002687761,1243.2319680682874,0,193.04974030773155,3712.3055234376247,175.0768274917791,0,0,119.05224269445024
1606,866.413163008459,1405.5578371381453,0,362.8377698478871,3712.3055234376247,176.3069042818097,0,0,119.88869491163372
1607,868.2468886787952,1567.8759443144759,0,521.0553480476374,3712.3055234376247,178.5737075880461,0,0,121.43012115989201
1608,880.4766815273551,1634.4681180560685,0,572.2690800544806,3712.305523437654,181.72235647423076,0,0,123.57120240249007
1609,902.2641720276562,1565.686609733577,0,477.88455424035783,3712.305523437654,185.53788346555666,0,0,126.16576075653225
1610,932.1196503794583,1401.179223166149,0,279.29968571162317,3712.3055234376247,189.75988707508077,0,0,129.03672321108084
1611,968.0035877723238,1236.6641850834044,0,21.329760475171497,3712.3055234376247,247.3308368358994,36.19677884066827,0,131.98819020780056
1612,1007.465626906102,1167.8597224078437,0,0,3712.3055234375956,160.39409550174605,10.445977243755479,0,134.81878653806498
1613,1047.8115697940634,1234.4136395372614,0,0,3712.3055234375956,186.60206974318135,0,0,137.3353846691261
1614,1086.2869829058545,1396.6781888066998,0,105.44081578156329,3712.3055234376247,204.9503901192802,0,0,139.36626528108803
1615,1120.26490726321,2216.610743405441,0,889.3269858497079,3712.3055234375956,207.0188502924866,0,0,140.77281819892286
1616,1147.4248813555985,2896.3958745039017,0,1540.9430719436496,3712.3055234376247,208.02792120462982,0,0,141.45898641918603
1617,1165.9110767599532,3354.5526354762155,0,1980.7330149303307,3712.3055234375665,207.90854378597578,0,0,141.37780977450058
1618,1174.4587697833344,3594.749411523142,0,2213.622079293651,3712.3055234375956,206.66856244619703,0,0,140.53462246344108
1619,1172.4805302950804,3685.035165589572,0,2308.1624489337846,3712.3055234375865,204.39218636069563,0,0,138.98668672525594
1620,1160.1062541219671,3703.6604281005357,0,2342.319927191362,3712.305523437683,201.23424678714946,0,0,136.83928781531372
1621,1138.1743108648081,3684.2040326532806,0,2348.620079749933,3712.3055234375865,197.40964203854674,0,0,134.23855658622782
1622,1108.1744103981584,3592.768845971228,0,2291.4157459143607,3712.305523437636,193.17868965872913,0,0,131.36150896788968
1623,1072.1460816067554,3350.8222818865625,0,2089.8468160559423,3712.305523437636,188.82938422390725,0,0,128.40398127220158
1624,1032.5396818650331,2890.102348121363,0,1672.904896250373,3712.305523437578,184.657770005957,0,0,125.56728360411314
1625,992.0494092339889,2206.8228195661713,0,1033.8256441954873,3712.305523437607,180.9477661366691,0,0,123.04448097291167
1626,953.4296973182278,1382.4589595725658,0,251.0774431078753,3712.305523437607,177.95181914645946,0,0,121.00723701957646
1627,919.3075051702514,1217.8254448757498,0,0,3712.305523437627,298.5179397054768,83.39808211463145,0,119.5941168851245
1628,892.0032943748112,1148.9029804821596,0,0,3712.3055234376275,256.8996861073829,139.1887224067479,0,118.90114626090653
1629,873.3728934291776,1215.3393737642323,0,341.96648033504607,3712.305523437639,0,20.213452539166806,0,118.97526986755508
1630,864.6810261004783,1377.4868800196089,0,366.3386444351805,3712.305523437639,146.46720948394554,0,0,119.81115498824282
1631,866.5151225935472,1539.627332007672,0,494.654036320484,3712.305523437639,178.45817309364793,0,0,121.3515577036621
1632,878.7452871557639,1606.042562665628,0,524.4585629065232,3712.305523437697,202.83871260333672,14.439097892023966,0,123.49122667828297
1633,900.5331502604548,1537.084827824599,0,259.3757624774637,3712.305523437639,377.17591508669534,144.83464187433282,0,126.08407827664901
