niche_id,grid_x,grid_y,quality_train,quality_holdout,descriptor_daily_battery_throughput_per_kwh_train,descriptor_peak_import_ratio_train,descriptor_daily_battery_throughput_per_kwh_holdout,descriptor_peak_import_ratio_holdout,visit_count,retained_niche,constraint_self_sufficiency,constraint_unserved,constraint_cycles,pv_kwp,wind_kw,battery_kwh,battery_kw,electrolyser_kw,hydrogen_kwh,grid_kw,grid_tier,include_wind,include_battery,include_hydrogen
93,9,7,0.05406970814180595,0.052162897920714754,1.673269096828152,0.7307055701879016,1.7931259700622855,0.7307055701879003,2,1,-0.4067656584102247,-0.0001,-3.7071761785593935,3356.5167931991423,2698.3164031011697,2046.203841981424,1370.4535634268398,0,0,1800,3,1,1,0
97,1,8,0.09364566219718709,0.09100359788963701,0.3405983706921496,0.8411941705905025,0.34258621427164176,0.8305569016552796,1,1,-0.08928417713967918,-0.0001,-301.49194687830976,2712.9714635137025,970.2116855507102,3799.621367792101,66.48293084514326,0,0,1250,2,1,1,0
98,2,8,0.06528277535386937,0.0695971148002246,0.5065121126086495,0.8313980765243603,0.598052811373387,0.7397812371324034,1,0,-0.3800668086729836,-0.0001,-236.63725643072087,1240.84116462246,2705.4279997569643,5588.589099955111,824.5515545276163,0,0,1800,3,1,1,0
99,3,8,0.113220127003795,0.10862813261839101,0.6751402455952911,0.8506640873858345,0.6885696299146687,0.793437034041364,2,0,-0.21308517753796097,-0.0001,-233.29025806724613,4734.653881463449,809.4626128816835,14072.351120553742,515.043480100236,0,0,1800,3,1,1,0
100,4,8,0.08244924311091732,0.0806184218661006,0.8770393713425401,0.85878899960241,1.0958644240272923,0.6215023259202667,2,0,-0.38570815297452943,-0.0001,-172.05377500034152,3077.057538895795,1864.1222701794468,8771.126440141097,2619.952836043692,0,0,4000,5,1,1,0
101,5,8,0.09968943388144336,0.09431839844166054,0.9826229714824518,0.8652708425557509,1.0028462093192123,0.8080437892112822,1,1,-0.17530313184250446,-0.0001,-172.69878216707448,4734.653881463448,673.7479073086998,9621.371101956782,515.043480100236,0,0,1800,3,1,1,0
102,6,8,0.052881751124482713,0.059207382314309664,1.1269696701911553,0.8009112111798156,1.2720595661685288,0.7023622357399159,1,0,-0.37048294133174875,-0.0001,-78.99886771670657,1084.667702738543,2711.2088941768516,1988.6926304610154,770.6594345768717,0,0,1800,3,1,1,0
103,7,8,0.05479294236179325,0.06150659211815113,1.3363949859675894,0.8160021277024275,1.565762563828475,0.6861016383580328,3,0,-0.3422021950145572,-0.0001,-33.26205940288702,1101.1564057566004,2450.9516695594234,1987.831133912559,770.6594345768717,0,0,1800,3,1,1,0
109,1,9,0.10398305927145572,0.10753845833960379,0.29467963072428394,1,0.368349538405355,0.890914991354704,2,0,-0.3614755261652911,-0.0001,-280.9056228162159,1502.166380983584,2351.0681882210206,13839.926912712654,3557.706291674456,0,0,4000,5,1,1,0
110,2,9,0.1077229555580221,0.1113663613436183,0.4726668410923793,0.9010630843604112,0.561888251967682,0.8160315407165439,4,0,-0.19411444105277154,-0.0001,-255.61470127626998,1325.786432873807,1632.8834135630689,14016.660952049779,765.2838927948259,0,0,1800,3,1,1,0
111,3,9,0.09120130766522136,0.094516866724096,0.7081158938266041,0.9371044132885711,0.8401689313212614,0.8449935328000184,3,0,-0.1925601539466788,-0.0001,-200.81540429182365,1328.1548405312985,1626.893872060779,9583.295319643154,828.9979243969651,0,0,1800,3,1,1,0
112,4,9,0.06047003426751568,0.0642574231091206,0.8129354855671282,0.9069625477404286,0.9315277382603563,0.8389196396102084,3,0,-0.3828043880892016,-0.0001,-170.6713485436775,1710.7181328967063,2491.222250176277,4498.75209701908,425.26817581387644,0,0,1250,2,1,1,0
113,5,9,0.05805755587574439,0.059955209932190334,1.0649072345502566,1,1.1642480782755391,1,3,0,-0.4007466572096189,-0.0001,-113.1980526958732,1919.6090410511251,2714.235633106316,2570.8383224691156,3239.0193690138194,0,0,1800,3,1,1,0
114,6,9,0.06314923750495743,0.06870843866704313,1.2361519477804876,1,1.4179105654196815,1,1,0,-0.3364811789322867,-0.0001,-70.63387839519197,1230.6698657698466,2334.950415040508,2757.4851701284874,3330.067146563242,0,0,2600,4,1,1,0
116,8,9,0.10079306916795323,0.09415909854770303,1.4934202038757025,0.9991097878047299,1.7927410253458678,0.8400356741269311,3,0,-0.23624487465948918,-0.0001,-69.87797560070493,4640.664726216421,576.9811505845198,11945.760082576111,3181.482273555977,0,0,4000,5,1,1,0
