proposal,topology,active_edges,dimension,motifs,exact_reference,training_score,validation_score,generalization_gap,period_train,period_validation,amplitude_train,amplitude_validation,participation_validation,failure_fraction_validation,requested_evaluations,actual_evaluations,wall_seconds
133,001022002,4,14,repressilator,,0.355109281622,0.730800646656,0.375691365034,25.442052148379,25.478190997597,139.666666666667,144.733333333333,1.000000000000,0.000000000000,192000,192000,52.680242854
134,010221022,6,18,mixed-cycle+toggle-core,,1.284849585559,2.222274183778,0.937424598219,24.658476403018,29.783427525503,26.833333333333,23.933333333333,1.000000000000,0.000000000000,192000,192000,88.738639961
135,100001020,3,12,other,,1.655413399612,2.685843595124,1.030430195513,23.740785759070,32.041963847883,17.666666666667,16.133333333333,1.000000000000,0.000000000000,192000,192000,57.603761022
136,020122002,5,16,repressilator,,0.373519790011,0.556928110766,0.183408320755,25.717194003271,25.959655941186,128.333333333333,123.533333333333,1.000000000000,0.000000000000,192000,192000,54.698754638
137,001122202,6,18,repressilator+toggle-core,,0.371691904439,0.950077251797,0.578385347358,25.412900953310,23.023301485586,127.166666666667,121.200000000000,1.000000000000,0.000000000000,192000,192000,76.240118601
140,002001210,4,14,other,,1.494303558543,3.384236331556,1.889932773012,25.768570114600,51.371541903902,22.500000000000,22.800000000000,1.000000000000,0.000000000000,192000,192000,78.745475085
141,010222021,6,18,mixed-cycle+toggle-core,,1.389200778706,3.030731904847,1.641531126142,25.290679525013,30.377862832116,24.000000000000,21.600000000000,1.000000000000,0.000000000000,192000,192000,130.927606570
145,102110022,6,18,other,,0.836636389164,2.407426916073,1.570790526909,32.364368976222,44.976188443281,46.500000000000,57.600000000000,1.000000000000,0.000000000000,192000,192000,72.562493538
146,001121002,5,16,mixed-cycle,,1.442849675511,2.622885833277,1.180036157766,24.944640318193,31.391382783223,20.333333333333,19.466666666667,1.000000000000,0.000000000000,192000,192000,125.332597659
147,020222002,5,16,repressilator+toggle-core,,0.378997993242,0.483956895918,0.104958902676,25.802582836557,25.771616029039,132.000000000000,135.666666666667,1.000000000000,0.000000000000,192000,192000,51.762675860
148,100222022,6,18,repressilator+toggle-core,,0.365006789695,0.755210758042,0.390203968346,25.854811025827,25.609854819837,106.166666666667,107.066666666667,1.000000000000,0.000000000000,192000,192000,70.384288638
149,020122022,6,18,repressilator+toggle-core,,0.371394069815,0.602764552563,0.231370482747,25.885228980316,26.048440764857,94.666666666667,98.933333333333,1.000000000000,0.000000000000,192000,192000,64.114587042
150,001220000,3,12,other,,1.409755300246,2.667381555907,1.257626255662,24.543120865894,31.428234989176,28.000000000000,28.266666666667,1.000000000000,0.000000000000,192000,192000,43.924669816
151,010212022,6,18,mixed-cycle+toggle-core,,1.015595133497,1.890399671463,0.874804537965,23.958294008812,30.299049743720,48.833333333333,44.733333333333,1.000000000000,0.000000000000,192000,192000,121.959707864
153,010121022,6,18,mixed-cycle+toggle-core,,1.481092150522,2.857298932768,1.376206782245,25.038789594411,37.659327661512,23.000000000000,22.933333333333,1.000000000000,0.000000000000,192000,192000,145.427501528
155,020001100,3,12,other,,1.586170215962,3.348868674626,1.762698458664,24.983107411437,50.524532728018,25.166666666667,29.066666666667,1.000000000000,0.000000000000,192000,192000,44.445190969
156,120222002,6,18,repressilator+toggle-core,,0.372234996307,0.775027373892,0.402792377584,25.401078162989,25.881935596886,116.833333333333,111.600000000000,1.000000000000,0.000000000000,192000,192000,87.336470057
157,220222002,6,18,repressilator+toggle-core,,0.372409231845,0.716839545566,0.344430313720,25.440596977904,24.935204942019,141.666666666667,139.200000000000,1.000000000000,0.000000000000,192000,192000,57.383953150
158,220122002,6,18,repressilator,,0.365254925952,0.714086388511,0.348831462559,25.739449680256,24.489333652075,91.833333333333,83.933333333333,1.000000000000,0.000000000000,192000,192000,73.336653489
159,000102002,3,12,other,,1.312109045819,2.650704801883,1.338595756065,26.229874199982,33.930302914380,20.666666666667,18.866666666667,1.000000000000,0.000000000000,192000,192000,33.814767395
160,011011011,6,18,positive-cycle,,1.522875811392,3.129732384834,1.606856573441,42.291153386232,44.198741424230,41.166666666667,32.933333333333,1.000000000000,0.000000000000,192000,192000,184.219227501
162,011122002,6,18,repressilator,,0.385298467222,0.599089059399,0.213790592177,25.681126178718,24.301668797930,117.000000000000,105.133333333333,1.000000000000,0.000000000000,192000,192000,82.622940099
163,010220022,5,16,toggle-core,,1.500206039017,2.852290416802,1.352084377785,23.599356708066,40.049000113226,33.666666666667,36.666666666667,1.000000000000,0.000000000000,192000,192000,97.539931504
165,110200011,5,16,other,,1.586227502243,3.302289922119,1.716062419877,41.810464573566,47.478394528030,52.333333333333,52.333333333333,1.000000000000,0.000000000000,192000,192000,139.402815688
168,001102002,4,14,other,,1.292463239229,2.949577086941,1.657113847712,26.899122504025,38.677529209404,29.166666666667,24.466666666667,1.000000000000,0.000000000000,192000,192000,54.411064710
169,001122000,4,14,other,,1.076554356498,2.085726881666,1.009172525168,24.405726520739,28.568730837930,37.666666666667,31.400000000000,1.000000000000,0.000000000000,192000,192000,57.911632417
170,222100210,6,18,goodwin-like,,0.550964821332,1.218998988687,0.668034167355,25.681581995329,27.389855944775,53.333333333333,50.666666666667,1.000000000000,0.000000000000,192000,192000,68.056704014
171,010222012,6,18,repressilator+toggle-core,,0.360276980231,0.686055225096,0.325778244865,25.482642908881,25.032351064296,103.333333333333,99.000000000000,1.000000000000,0.000000000000,192000,192000,70.184634275
174,000122021,5,16,mixed-cycle+toggle-core,,1.206612074315,1.702054569868,0.495442495554,25.769313845217,24.642052656166,36.500000000000,32.200000000000,1.000000000000,0.000000000000,192000,192000,124.217770433
175,100012111,6,18,goodwin-like,,0.526536834222,1.210612419425,0.684075585203,25.974522976086,21.946736165775,43.833333333333,34.066666666667,1.000000000000,0.000000000000,192000,192000,151.478260547
178,002122002,5,16,repressilator,,0.373552536119,0.585320152923,0.211767616804,25.560664028680,25.662191226397,128.500000000000,125.066666666667,1.000000000000,0.000000000000,192000,192000,64.094736775
179,120122002,6,18,repressilator,,0.346440533465,0.639581321537,0.293140788072,25.660687902236,25.081547179153,124.833333333333,116.400000000000,1.000000000000,0.000000000000,192000,192000,66.979917920
180,000000021,2,10,other,,1.649575330324,3.345781934535,1.696206604211,32.043385182193,40.328184014608,34.500000000000,33.800000000000,1.000000000000,0.000000000000,192000,192000,32.446050367
