accepted_index,structure_key,variant_key,niche,strategy,evaluation_found,objective_mga,mga_score,fixed_mass_score,launch_v_infinity_km_s,flyby_delta_v_km_s,charged_delta_v_km_s,flight_days,requested_evaluations,actual_evaluations,worker_seconds
76,3-3-3-3-5-3-2-3-2-3-5-6-5-10,3-3-3-3-5-3-2-3-2-3-5-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F26y,Agent,true,-1127109.3274604112,1127109.3274604112,1849745.236148257,0.0003360049040309471,13.096825507571445,13.096825507571445,9616.532574826399,3520000,2227020,5988.68530256
77,3-3-3-3-5-3-2-2-5-2-3-6-5-10,3-3-3-3-5-3-2-2-5-2-3-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F27y,Agent,true,-978322.0433625394,978322.0433625394,1735009.670575668,4.423789826922806,13.073997931633338,14.997787758556143,10180.015735858131,3520000,2189782,5382.25044056
78,3-3-3-3-5-3-2-3-2-3-5-5-6-10,3-3-3-3-5-3-2-3-2-3-5-5-6-10|0000000000000,L14-I9-TJJJS-R0-F28y,Agent,true,-237906.6547120082,237906.6547120082,863832.6036442879,0.00040696185883298564,32.56569642825056,32.56569642825056,10381.58709071539,3520000,2355579,6820.430784896
79,3-3-3-3-5-3-2-3-5-3-6-2-5-10,3-3-3-3-5-3-2-3-5-3-6-2-5-10|0000000000001,L14-I9-TJJSJ-R1-F27y,Agent,true,-976550.5311699365,976550.5311699365,1394183.8865678753,0.0020207415719608857,9.680343537356169,9.680343537356169,10213.839509543704,3520000,2250521,5546.286777312
80,3-3-3-3-6-3-2-3-2-3-6-5-6-10,3-3-3-3-6-3-2-3-2-3-6-5-6-10|0000000000100,L14-I9-TSSJS-R2-F28y,Agent,true,-83642.34564436697,83642.34564436697,594326.0067018593,4.06025839640292,47.46534765657857,49.025606052981495,10261.620924029987,3520000,2243125,7393.819528576
81,3-3-3-3-5-2-3-3-2-3-5-6-5-10,3-3-3-3-5-2-3-3-2-3-5-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F27y,Agent,true,-1043330.0361225782,1043330.0361225782,1849975.3300806354,0.0013926992666191723,14.993506803667971,14.993506803667971,9898.57523932254,3520000,2324810,6018.973196448
82,3-3-3-3-6-2-3-3-2-3-5-5-6-10,3-3-3-3-6-2-3-3-2-3-5-5-6-10|0000000000000,L14-I9-TSJJS-R0-F27y,Agent,true,-183208.65067486285,183208.65067486285,860096.869347827,0.001935731790480454,38.86447673692295,38.86447673692295,10186.918043244983,3520000,2403394,7140.64520008
83,3-3-3-3-5-2-3-3-2-5-3-6-5-10,3-3-3-3-5-2-3-3-2-5-3-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F29y,Agent,true,-981547.8715159589,981547.8715159589,1658532.2619132942,4.657347512542515,11.65452602445527,13.811873536997785,10735.057746417371,3520000,2224651,5747.462492736
84,3-2-5-2-3-6-5-6-10,3-2-5-2-3-6-5-6-10|00000100,L9-I4-TJSJS-R2-F22y,Agent,true,-563781.3899901722,563781.3899901722,1123302.050437116,5.425997781056981,14.926308516904623,17.852306297961604,8231.984346546596,3520000,1810661,3943.75008752
85,3-3-3-3-5-2-3-3-2-3-6-6-5-10,3-3-3-3-5-2-3-3-2-3-6-6-5-10|0000000000011,L14-I9-TJSSJ-R1-F28y,Agent,true,-526344.3287934425,526344.3287934425,1606257.238254907,0.0004823777643301053,28.30484979512721,28.30484979512721,10329.246789109771,3520000,2272275,7085.003360896
