point_id,feasible,selected,objective_negative_peak_gain_db,objective_psll_db,objective_active_count,objective_robustness_margin_db,constraint_null_db,constraint_kernel,peak_deg,hpbw_deg,phase_codes,attenuator_codes
19,1,0,-19.238694621430774,-11.07127084289084,14,4.025624710845401,-7.787808749264306,-1,34.43532456759539,10.181410164475025,"5;51;39;14;61;43;27;62;55;38;22;57;45;25;14;60","31;11;7;5;9;4;1;0;0;2;2;4;13;17;22;23"
20,1,0,-19.211000997603872,-23.661596941054228,13,14.083537245393508,-17.661596941054228,-1,18.20995686428301,9.930227753240128,"10;1;55;45;35;25;15;5;59;49;39;29;19;9;63;54","22;20;16;11;7;3;1;0;0;1;2;7;11;16;20;22"
21,1,0,-19.206920447355706,-23.223175412048782,13,13.645115716388062,-17.723794512872296,-1,18.215961127708887,9.928615086903639,"10;1;55;45;35;25;15;6;59;49;39;29;19;9;63;54","22;20;16;11;7;3;1;0;0;1;2;7;11;16;20;22"
22,1,0,-19.16344906503238,-24.23418955943847,13,14.62078253855,-18.23418955943847,-1,18.20995686428301,9.923571007568816,"10;1;55;45;35;25;15;5;59;49;39;29;19;9;63;54","22;20;16;11;7;3;1;0;0;1;3;7;11;16;20;22"
23,1,0,-19.156965279073347,-21.14397951365141,13,12.556714339500767,-20.342672636982552,-1,18.011509055405316,9.91477892518409,"10;1;55;45;35;25;15;5;59;49;43;29;19;9;63;54","22;20;16;11;7;3;1;0;0;1;2;7;11;16;20;22"
24,1,0,-19.029053224332426,-7.5345406710326,14,2.5880251333052824,-8.586654895003514,-1,34.71499797365308,11.1173054081734,"31;49;57;15;61;43;26;9;55;31;20;51;49;25;15;31","31;12;7;5;7;1;1;0;0;1;2;5;7;10;11;12"
25,1,0,-18.964608083321522,-28.65899692697329,14,18.168817004996342,-24.941402965425052,-1,38.68218745348944,12.046809185052282,"22;2;46;26;6;50;30;10;54;34;14;58;38;18;62;42","28;25;19;13;8;4;1;0;0;1;3;8;13;19;25;28"
26,1,0,-18.959231430106996,-27.64526820605485,14,17.41535524014349,-24.781789267471993,-1,38.58837342500647,12.039827502419016,"22;2;44;26;6;50;30;10;54;34;14;58;38;18;62;42","28;25;19;13;8;4;1;0;0;1;3;8;13;19;25;28"
27,1,0,-18.929169746845073,-25.62544237784177,14,15.228202693170395,-23.713140677013506,-1,38.579956522789416,11.98489672372142,"33;2;46;26;6;50;30;9;54;34;15;58;38;18;63;42","28;25;19;13;8;4;1;0;0;1;4;8;13;18;25;28"
28,1,0,-18.829854579284138,-26.13925004425984,14,16.603098311696332,-4.896387918912481,-1,13.841175254868228,9.91665235961553,"57;52;42;34;27;19;11;4;60;53;45;37;30;22;14;7","31;28;21;10;6;4;1;0;0;1;4;8;14;25;29;31"
