niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_throughput_per_hour_train,descriptor_mean_wip_train,descriptor_throughput_per_hour_validation,descriptor_mean_wip_validation,validation_niche_id,same_niche,visit_count,decision_buffer_capacity,decision_speed_a,decision_speed_b,decision_maintenance_threshold_a,decision_maintenance_threshold_b,decision_rework_probability,decision_dispatch_priority,decision_staff_a,decision_staff_b
132,12,6,27.242215278342336,30.02082741770473,60.1875,60.105793239545825,62.3125,57.7116151780771,112,0,38,31,0.8543783929503082,1.0877654932682532,0.6492198847675544,0.4922145650197853,1,0.990646653479865,2,2
70,10,3,27.27171425183071,29.109114601866594,50.875,33.28385020344585,51.65625,31.25768387212447,70,1,1228,1,1.0259045689846276,0.9770666094379957,0.95,0.47560453389358587,0.4016748587884219,1,2,2
49,9,2,27.306237013619214,29.282272218249368,45.75,29.700104821168743,45.375,29.21949998160312,49,1,707,1,1.0574253686144064,0.8147295032887869,0.95,0.34936204626573336,0.3211830006497981,0.9949602939662806,2,2
93,13,4,27.339333108282805,28.571345555332623,65.1875,46.02484089627187,65.96875,46.28442241232033,93,1,1537,6,0.8703532642119608,0.8982146725031944,0.8982339141684308,0.6613693852255689,0.4266765864016807,1,2,3
31,11,1,27.417606080835814,27.83179977242769,55.5625,10.33391793058854,54.625,10.281096299128127,30,0,456,1,0.8411171055892209,1.1114434614803317,0.9402611258253154,0.5242683645468647,0.4056250007048062,0.9877345418917988,3,2
67,7,3,27.47622087160699,29.071902675635144,39.75,38.713458429373965,40.25,36.2548048534276,68,0,591,1,0.968999445856095,0.7,0.95,0.32698855115001635,0.23145880168700808,1,2,2
63,3,3,27.514193175659614,30.38713527531477,19.0625,32.96602795094894,19.78125,36.461643518240614,63,1,342,1,1.1490100333142395,0.7,0.1947694174435639,0.15,0,1,2,1
32,12,1,27.548551311715087,28.16971255193566,60.1875,10.057367632635419,61.65625,10.19890910871355,32,1,563,1,0.8619280023749822,0.8278682913727874,0.9337965203449248,0.4175094821245141,0.38149477927917536,0.9925334032941752,3,3
103,3,5,27.628950823377586,31.614614281694244,19.8125,50.2025606762021,20.3125,47.36029606725678,84,0,4,1,0.994088037757646,0.7,0.15,0.15,0,1,2,1
33,13,1,27.633647858019266,28.753498478530542,65.8125,10.101903109684375,66.375,10.767564056745842,33,1,455,2,0.882275074725557,0.8410030799945107,0.7463678209791583,0.3906158437255872,0.3883454454858969,1,3,3
47,7,2,27.72450794150002,29.54987365539694,39.6875,27.996445720618745,40,28.018328984216154,48,0,380,1,1.0704663463953188,0.7224029152998807,0.95,0.2117145761204612,0.0622023383569367,1,2,2
48,8,2,27.851874355072017,29.362314363368043,44.9375,29.71897327955,45.84375,29.219573485790114,49,0,633,1,1.0575832119563182,0.8339447017921535,0.95,0.3650041234266732,0.33501004441181226,1,2,2
71,11,3,27.861053983206556,29.067250328330307,56.3125,39.79885029020521,56.09375,37.7425897855948,71,1,856,2,0.9627395202142379,0.9989968040858688,0.95,0.7190299777725414,0.3658627371906689,1,2,2
113,13,5,27.89379208002839,28.87331567342394,65.125,50.242903010640624,66.625,48.21005047987814,93,0,36,14,0.8968208744189524,0.8557100102326252,0.6386513818325367,0.6788248342953037,1,1,2,3
43,3,2,28.033992252526783,30.555721861275092,19.875,29.91630355466876,20.3125,31.666471021154692,64,0,249,1,1.2122963414397594,0.7000566587154138,0.1829967553631077,0.15,0,1,2,1
