evaluations,elapsed_seconds,best_quality
81920,0.354647416,-0.06986071945629328
82176,0.355631795,-0.06986071945629328
82432,0.356617683,-0.06986071945629328
82688,0.357605322,-0.06986071945629328
82944,0.3585739,-0.06986071945629328
83200,0.359538928,-0.06986071945629328
83456,0.360685098,-0.06986071945629328
83712,0.361677257,-0.06986071945629328
83968,0.362665475,-0.06986071945629328
84224,0.363628924,-0.06986071945629328
84480,0.364723293,-0.06986071945629328
84736,0.365765822,-0.06986071945629328
84992,0.366791271,-0.06986071945629328
85248,0.367786479,-0.06986071945629328
85504,0.368765318,-0.06986071945629328
85760,0.369796337,-0.06986071945629328
86016,0.370919646,-0.06986071945629328
86272,0.371969015,-0.06986071945629328
86528,0.372971374,-0.06986071945629328
86784,0.373962502,-0.06986071945629328
87040,0.374955361,-0.06986071945629328
87296,0.375944479,-0.06986071945629328
87552,0.376899028,-0.06986071945629328
87808,0.377881086,-0.06986071945629328
88064,0.378874915,-0.06986071945629328
88320,0.379861133,-0.06986071945629328
88576,0.380856332,-0.06986071945629328
88832,0.38184823,-0.06986071945629328
89088,0.382820668,-0.06986071945629328
89344,0.383782697,-0.06986071945629328
89600,0.384719405,-0.06986071945629328
89856,0.385656693,-0.06986071945629328
90112,0.386681952,-0.06986071945629328
90368,0.388471197,-0.06986071945629328
90624,0.389477016,-0.06986071945629328
90880,0.390488234,-0.06986071945629328
91136,0.391486223,-0.06986071945629328
91392,0.392485421,-0.06986071945629328
91648,0.39348923,-0.06986071945629328
91904,0.394464598,-0.06986071945629328
92160,0.395465247,-0.06986071945629328
92416,0.396456056,-0.06986071945629328
92672,0.397439144,-0.06984717075902386
92928,0.398432493,-0.06984717075902386
93184,0.399422201,-0.06984717075902386
93440,0.400382989,-0.06984717075902386
93696,0.401366448,-0.06984717075902386
93952,0.402339506,-0.06984717075902386
94208,0.403391965,-0.06984717075902386
94464,0.404402524,-0.06984717075902386
94720,0.405486103,-0.06984717075902386
94976,0.406648093,-0.06984717075902386
95232,0.407644702,-0.06984717075902386
95488,0.408864232,-0.06984717075902386
95744,0.410426456,-0.06984717075902386
96000,0.411417934,-0.06984717075902386
96256,0.412431973,-0.06984717075902386
96512,0.413432281,-0.06984717075902386
96768,0.414393,-0.06984717075902386
97024,0.415464529,-0.06984717075902386
97280,0.416501338,-0.06984717075902386
97536,0.417682738,-0.06984717075902386
97792,0.418698717,-0.06984717075902386
98048,0.420037338,-0.06984717075902386
98304,0.421145498,-0.06984717075902386
98560,0.422118936,-0.06984717075902386
98816,0.423079674,-0.06984717075902386
99072,0.424033232,-0.06984717075902386
99328,0.425050131,-0.06984717075902386
99584,0.42608682,-0.06984717075902386
99840,0.427064768,-0.06984717075902386
100096,0.428013847,-0.06984717075902386
100352,0.428965455,-0.06984717075902386
100608,0.429900823,-0.06984717075902386
100864,0.430830731,-0.06984717075902386
101120,0.431771249,-0.06984717075902386
101376,0.432700417,-0.06984717075902386
101632,0.433700975,-0.06984717075902386
101888,0.434729744,-0.06984717075902386
102144,0.435933765,-0.06984717075902386
102400,0.437106525,-0.06984717075902386
102656,0.438324925,-0.06984717075902386
102912,0.439387074,-0.06984717075902386
103168,0.440506344,-0.06984717075902386
103424,0.441559103,-0.06982423868033198
103680,0.442666682,-0.06982423868033198
103936,0.444325007,-0.06982423868033198
104192,0.445341525,-0.06982423868033198
104448,0.446369294,-0.06982423868033198
104704,0.447811827,-0.06982423868033198
104960,0.448899926,-0.06982423868033198
105216,0.449885824,-0.06982423868033198
105472,0.450839673,-0.06982423868033198
105728,0.451822711,-0.06982423868033198
105984,0.45290899,-0.06982423868033198
106240,0.453870619,-0.06982423868033198
106496,0.454850957,-0.06982423868033198
106752,0.455840406,-0.06982423868033198
107008,0.456803374,-0.06982423868033198
107264,0.457760152,-0.06982423868033198
107520,0.4587064,-0.06982423868033198
107776,0.459688309,-0.06982423868033198
108032,0.460636097,-0.06982423868033198
108288,0.461582955,-0.06982423868033198
108544,0.462549233,-0.06982423868033198
108800,0.463565862,-0.06982423868033198
109056,0.464559101,-0.06982423868033198
109312,0.465532079,-0.06982423868033198
109568,0.466625238,-0.06982423868033198
109824,0.467611887,-0.06982423868033198
110080,0.468607975,-0.06982423868033198
110336,0.469610864,-0.06982423868033198
110592,0.470973346,-0.06982423868033198
110848,0.471943584,-0.06982423868033198
111104,0.472890102,-0.06982423868033198
111360,0.47384175,-0.06982423868033198
111616,0.474781818,-0.06982423868033198
111872,0.475734626,-0.06982423868033198
112128,0.476693935,-0.06982423868033198
112384,0.477651563,-0.06982423868033198
112640,0.478648252,-0.06982423868033198
112896,0.47961759,-0.06982423868033198
113152,0.480618118,-0.06982423868033198
113408,0.481622507,-0.06982423868033198
113664,0.482571695,-0.06982423868033198
113920,0.483593464,-0.06982423868033198
114176,0.484574382,-0.06982423868033198
114432,0.485544441,-0.06982423868033198
114688,0.486565339,-0.06982423868033198
114944,0.487655059,-0.06982423868033198
115200,0.488666998,-0.06982423868033198
115456,0.489643956,-0.06982423868033198
115712,0.490623174,-0.06982423868033198
115968,0.491585963,-0.06982423868033198
116224,0.492561231,-0.06982423868033198
116480,0.493479489,-0.06982423868033198
116736,0.494418887,-0.06982423868033198
116992,0.495376385,-0.06982423868033198
