experiment,scenario_mode,algorithm,seed,workers,evaluations,train_best,monitor_score
noise,rotating,cmaes,43,24,6208,0.943155814800,1.348843112204
noise,rotating,cmaes,43,24,8256,0.943155814800,1.348843112204
noise,rotating,cmaes,43,24,10304,0.943155814800,1.348843112204
noise,rotating,cmaes,43,24,12352,0.943155814800,1.348843112204
noise,rotating,cmaes,43,24,14400,0.943155814800,1.348843112204
noise,rotating,cmaes,43,24,16448,0.943155814800,1.348843112204
noise,rotating,cmaes,43,24,18496,0.943155814800,1.348843112204
noise,rotating,cmaes,43,24,20480,0.943155814800,1.348843112204
noise,rotating,biteopt,43,24,64,1.965120272125,1.965096396100
noise,rotating,biteopt,43,24,2112,1.026797615127,1.363415291458
noise,rotating,biteopt,43,24,4160,0.881034020994,1.302615151178
noise,rotating,biteopt,43,24,6208,0.881034020994,1.302615151178
noise,rotating,biteopt,43,24,8256,0.881034020994,1.302615151178
noise,rotating,biteopt,43,24,10304,0.846891264126,1.366289094236
noise,rotating,biteopt,43,24,12352,0.846891264126,1.366289094236
noise,rotating,biteopt,43,24,14400,0.846891264126,1.366289094236
noise,rotating,biteopt,43,24,16448,0.846891264126,1.366289094236
noise,rotating,biteopt,43,24,18496,0.846891264126,1.366289094236
noise,rotating,biteopt,43,24,20480,0.846891264126,1.366289094236
noise,rotating,pgpe,44,24,64,1.519393146467,1.534998042217
noise,rotating,pgpe,44,24,2112,1.066636863615,1.271004386587
noise,rotating,pgpe,44,24,4160,1.042998445548,1.219316817040
noise,rotating,pgpe,44,24,6208,0.949299460901,1.280884629137
noise,rotating,pgpe,44,24,8256,0.879578896270,1.251815490083
noise,rotating,pgpe,44,24,10304,0.879578896270,1.251815490083
noise,rotating,pgpe,44,24,12352,0.879578896270,1.251815490083
noise,rotating,pgpe,44,24,14400,0.879578896270,1.251815490083
noise,rotating,pgpe,44,24,16448,0.879578896270,1.251815490083
noise,rotating,pgpe,44,24,18496,0.814254297718,1.215840747682
noise,rotating,pgpe,44,24,20480,0.746726168986,1.163165612877
noise,rotating,crfmnes,44,24,64,1.512639064622,1.530250278602
noise,rotating,crfmnes,44,24,2112,1.283347732088,1.281885885977
noise,rotating,crfmnes,44,24,4160,1.081601515301,1.165058312666
noise,rotating,crfmnes,44,24,6208,0.915500253045,1.276928277399
noise,rotating,crfmnes,44,24,8256,0.621775290060,1.092279262103
noise,rotating,crfmnes,44,24,10304,0.212679822366,0.241452254327
noise,rotating,crfmnes,44,24,12352,0.174475944556,1.221501546678
noise,rotating,crfmnes,44,24,14400,0.171627803482,1.111845334272
noise,rotating,crfmnes,44,24,16448,0.169863326768,1.382161488429
noise,rotating,crfmnes,44,24,18496,0.164342615042,2.288349391587
noise,rotating,crfmnes,44,24,20480,0.164247185572,2.801886616916
noise,rotating,cmaes,44,24,64,1.519393146467,1.534998042217
noise,rotating,cmaes,44,24,2112,1.187865712682,1.479689434524
noise,rotating,cmaes,44,24,4160,1.037828347132,1.397488878816
noise,rotating,cmaes,44,24,6208,1.032737253474,1.361960358082
noise,rotating,cmaes,44,24,8256,0.937529539375,1.288613765153
noise,rotating,cmaes,44,24,10304,0.937529539375,1.288613765153
noise,rotating,cmaes,44,24,12352,0.937529539375,1.288613765153
noise,rotating,cmaes,44,24,14400,0.937529539375,1.288613765153
noise,rotating,cmaes,44,24,16448,0.937529539375,1.288613765153
noise,rotating,cmaes,44,24,18496,0.937529539375,1.288613765153
noise,rotating,cmaes,44,24,20480,0.937529539375,1.288613765153
noise,rotating,biteopt,44,24,64,2.834062680342,3.213216150881
noise,rotating,biteopt,44,24,2112,0.959588730661,1.309219521315
noise,rotating,biteopt,44,24,4160,0.959588730661,1.309219521315
noise,rotating,biteopt,44,24,6208,0.601985616464,0.972475121989
noise,rotating,biteopt,44,24,8256,0.271728680254,1.019970445756
noise,rotating,biteopt,44,24,10304,0.271728680254,1.019970445756
noise,rotating,biteopt,44,24,12352,0.271728680254,1.019970445756
noise,rotating,biteopt,44,24,14400,0.271728680254,1.019970445756
noise,rotating,biteopt,44,24,16448,0.240441216243,0.905208793771
noise,rotating,biteopt,44,24,18496,0.240441216243,0.905208793771
noise,rotating,biteopt,44,24,20480,0.240441216243,0.905208793771
noise,rotating,pgpe,45,24,64,1.528618423755,1.550232762537
noise,rotating,pgpe,45,24,2112,1.030605388219,1.387311994365
noise,rotating,pgpe,45,24,4160,0.678828417892,1.175926213929
noise,rotating,pgpe,45,24,6208,0.314256915205,0.900101314994
noise,rotating,pgpe,45,24,8256,0.245808589830,0.885756427078
noise,rotating,pgpe,45,24,10304,0.174239538725,0.515065848833
noise,rotating,pgpe,45,24,12352,0.165135008742,0.470248191819
noise,rotating,pgpe,45,24,14400,0.154686735214,0.819202328718
noise,rotating,pgpe,45,24,16448,0.154686735214,0.819202328718
noise,rotating,pgpe,45,24,18496,0.154686735214,0.819202328718
noise,rotating,pgpe,45,24,20480,0.152033357750,0.243256838329
noise,rotating,crfmnes,45,24,64,1.517522383980,1.556924633631
noise,rotating,crfmnes,45,24,2112,1.186429316572,1.388386841365
noise,rotating,crfmnes,45,24,4160,0.985067651423,1.234043694537
noise,rotating,crfmnes,45,24,6208,0.920224603872,1.221878409216
noise,rotating,crfmnes,45,24,8256,0.920224603872,1.221878409216
noise,rotating,crfmnes,45,24,10304,0.828242835958,1.199559094902
