proposal,topology,active_edges,dimension,motifs,exact_reference,training_score,validation_score,generalization_gap,period_train,period_validation,amplitude_train,amplitude_validation,participation_validation,failure_fraction_validation,requested_evaluations,actual_evaluations,wall_seconds
73,020022100,4,14,other,,1.687729412221,3.186322320998,1.498592908777,27.410497828730,42.429554469800,38.000000000000,42.866666666667,1.000000000000,0.000000000000,192000,192000,53.998079798
74,020121002,5,16,mixed-cycle,,1.424744767621,2.853085025551,1.428340257931,24.335402367459,34.817788996139,36.500000000000,33.933333333333,1.000000000000,0.000000000000,192000,192000,110.976880598
75,010200022,4,14,other,,1.699457832168,2.950092119524,1.250634287356,25.951477756966,38.062442793851,23.000000000000,19.733333333333,1.000000000000,0.000000000000,192000,192000,86.810806210
76,000012022,4,14,mixed-cycle,,0.853224270174,2.685713537869,1.832489267694,25.857408106133,37.021782723136,34.166666666667,29.000000000000,1.000000000000,0.000000000000,192000,192000,41.274249397
77,021201210,6,18,mixed-cycle,,1.049109866332,2.455657258862,1.406547392530,24.626813098970,32.554331967681,32.666666666667,27.200000000000,1.000000000000,0.000000000000,192000,192000,88.127041121
78,001020200,3,12,other,,1.710671277165,2.794172651149,1.083501373984,26.080132475212,32.600926258360,21.666666666667,23.800000000000,1.000000000000,0.000000000000,192000,192000,43.678920641
79,002002210,4,14,other,,1.639548919641,3.072336505049,1.432787585408,26.547244236533,37.800598206393,35.000000000000,38.000000000000,1.000000000000,0.000000000000,192000,192000,61.389223678
80,020101222,6,18,mixed-cycle+toggle-core,,1.465410543956,3.556747448949,2.091336904994,26.650477294339,47.121619073129,57.666666666667,52.400000000000,1.000000000000,0.000000000000,192000,192000,125.436170655
81,220220011,6,18,other,,0.961449104996,2.617290114890,1.655841009893,26.192773345495,33.199320146855,23.833333333333,19.866666666667,1.000000000000,0.000000000000,192000,192000,61.092946667
82,000002022,3,12,other,,1.632024856581,2.720114281327,1.088089424746,25.104459702327,37.638079816717,19.833333333333,20.200000000000,1.000000000000,0.000000000000,192000,192000,33.766608406
83,200000002,2,10,other,,1.771782846563,3.187017478617,1.415234632054,24.255198572505,45.305991459312,26.166666666667,26.266666666667,1.000000000000,0.000000000000,192000,192000,23.827545382
84,021100020,4,14,other,,1.767328154962,3.087186075722,1.319857920760,28.487126466225,42.315103928401,20.666666666667,19.533333333333,1.000000000000,0.000000000000,192000,192000,58.574616319
