candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
58,1,0.5587793590360751,0.5587793590360751,0.1532368979340467,0.25867360176128834,0.62075,0.11060589810606054,0.175,0.3333333333333333,0.0875,14,33,43494.2,83.4,583,-0.07499999999999998,-0.9997085,5,55,0.00892171,,11,23,5,3,0.7123355196692271,0.5721014429983704,1.7093237486388664,0
59,1,0.6011781615037979,0.6011781615037979,0.20746598639455785,0.25987059004908875,0.612375,0.20273809523809516,0.475,0.2602739726027397,0.30416666666666664,54,21,73022.6,234.4,350,-0.375,-0.999825,5,350,0.048641634,,70,21,36,2,0.5991097498467532,0.94854640491146,3.4467231442538577,1
60,0,15.815510557964274,0.5770545816876683,0.1401748721194913,0.21392682072829133,0.60875,0.04583318333333333,0,0,0.008333333333333333,2,40,7765.8,27,27,0.1,-0.9999865,5,45,0.004054391,,9,23,57,48,0.6265773132640449,0.6044146384180311,2.6632078498722027,1
61,1,0.6766665847532652,0.6766665847532652,0.1452160077162784,0.2953580799335022,0.6145,0.10416644583333334,0.225,0.5625,0.06666666666666667,7,31,32848.8,70.8,855,-0.125,-0.9995725,5,45,0.006346684,,9,21,2,5,0.5013892178196547,0.6894605621360841,1.649823457014406,1
62,0,15.815510557964274,1.3395037130661822,0.15418092586557647,0.19293546365914785,0.5504375,0.128921043627451,0,0,0,0,40,20954.8,68,255,0.1,-0.9998725,5,85,0.006082372,,17,3,5,6,0.4471652999112856,0.6612559461853224,0.5100319644441106,0
63,0,15.565510557964274,0.5760485568420811,0.1386481231482855,0.23843575019372532,0.6295,0.05583319583333336,0.025,0.25,0.016666666666666666,3,39,84101.4,154,5745,0.07500000000000001,-0.9971274999999999,5,75,0.011506787,,15,13,1,4,0.9980805187182326,0.3665721216298286,0.7420213679588089,0
64,1,0.6101451135245731,0.6101451135245731,0.13649996666676253,0.2941971738549354,0.669875,0.06291657083333334,0.15,0.4,0.0625,9,34,57770.2,129.2,520,-0.04999999999999999,-0.99974,5,100,0.026461888,,20,7,11,5,0.7948994894165151,0.9145482533721845,1.7631700185612733,1
65,0,15.815510557964274,1.357763558468584,0.16460470878387365,0.178594351732991,0.534125,0.16085025694444444,0,0,0,0,40,127552.6,432,576,0.1,-0.999712,5,720,0.053093598,,144,15,32,20,0.438030086333467,0.7485206902793865,1.1450396130683238,1
66,0,15.815510557964274,0.956410880514903,0.15874262873171727,0.20782241691375225,0.586125,0.1456078247747747,0,0,0,0,40,119163,355.4,1184,0.1,-0.999408,5,370,0.039880215,,74,13,13,7,0.5996351878931495,0.6607238283099481,0.505704853231248,0
67,1,0.467651254090274,0.467651254090274,0.15020386222565235,0.27240345566516727,0.6474375,0.10111464551486196,0.25,0.3225806451612903,0.12916666666666668,21,30,228356,712.6,1727,-0.15,-0.9991365,5,785,0.088967102,,157,17,19,50,0.6142338273082258,0.7364419313255921,2.254270201546846,1
68,0,15.815510557964274,0.520695336936425,0.14434222835116822,0.26383982810138895,0.617875,0.09874496741967871,0,0,0,0,40,529098,1403.8,5478,0.1,-0.997261,5,1245,0.251004036,,249,10,14,3,0.8608817581805928,0.8011295503886054,0.6034150218039743,1
